dbname,Missing feature cells,Observed feature cells,Total feature cells,Overall missing percent,N residents/rows
C0633,93,1879,1972,0.047160243407707914,68
C0636,138,587,725,0.19034482758620688,25
C0637,72,1929,2001,0.035982008995502246,69
C0650,12,1003,1015,0.011822660098522168,35
C0651,42,1292,1334,0.031484257871064465,46
C0653,75,650,725,0.10344827586206896,25
C0655,492,1045,1537,0.32010409889394925,53
C0656,180,1966,2146,0.08387698042870456,74
C0657,102,536,638,0.15987460815047022,22
C0658,36,805,841,0.04280618311533888,29
C0659,72,2480,2552,0.02821316614420063,88
C0660,51,1776,1827,0.027914614121510674,63
C0661,138,4502,4640,0.029741379310344828,160
C0662,12,684,696,0.017241379310344827,24
C0663,90,1679,1769,0.05087620124364047,61
C0665,60,810,870,0.06896551724137931,30
C0666,66,1703,1769,0.03730921424533635,61
C0667,180,980,1160,0.15517241379310345,40
C0668,150,1416,1566,0.09578544061302682,54
C0669,327,427,754,0.4336870026525199,26
C0670,57,1161,1218,0.046798029556650245,42
C0671,105,794,899,0.1167964404894327,31
C0673,78,589,667,0.11694152923538231,23
C0675,54,381,435,0.12413793103448276,15
C0676,6,632,638,0.009404388714733543,22
C0677,36,1008,1044,0.034482758620689655,36
C0678,45,970,1015,0.04433497536945813,35
C0679,63,1735,1798,0.035038932146829814,62
C0680,243,3150,3393,0.07161803713527852,117
C0682,288,959,1247,0.2309542902967121,43
C0683,54,1280,1334,0.04047976011994003,46
C0685,321,375,696,0.46120689655172414,24
C0686,141,874,1015,0.13891625615763548,35
C0687,189,1522,1711,0.11046171829339567,59
C0689,123,776,899,0.13681868743047831,31
C0690,33,2345,2378,0.013877207737594618,82
C0691,39,976,1015,0.03842364532019704,35
C0692,21,675,696,0.03017241379310345,24
C0693,45,1057,1102,0.04083484573502722,38
C0695,456,878,1334,0.34182908545727136,46
C0696,183,281,464,0.39439655172413796,16
C0697,51,1109,1160,0.04396551724137931,40
C0698,9,1122,1131,0.007957559681697613,39
C0699,42,1669,1711,0.024547048509643482,59
C0700,12,974,986,0.012170385395537525,34
C0702,87,1218,1305,0.06666666666666667,45
C0703,114,1017,1131,0.10079575596816977,39
C0706,96,977,1073,0.08946877912395154,37
C0707,48,1431,1479,0.032454361054766734,51
C0708,21,1284,1305,0.016091954022988506,45
C0709,120,2693,2813,0.04265908282971916,97
C0710,189,2885,3074,0.06148340923877684,106
C0711,57,958,1015,0.0561576354679803,35
C0713,51,935,986,0.05172413793103448,34
C0715,150,952,1102,0.13611615245009073,38
C0716,165,792,957,0.1724137931034483,33
C0717,78,705,783,0.09961685823754789,27
C0719,36,718,754,0.04774535809018567,26
C0721,501,659,1160,0.43189655172413793,40
C0722,15,739,754,0.01989389920424403,26
C0723,66,1065,1131,0.058355437665782495,39
C0725,36,1240,1276,0.02821316614420063,44
C0727,51,1225,1276,0.039968652037617555,44
C0728,12,771,783,0.01532567049808429,27
C0730,645,1414,2059,0.3132588635259835,71
C0732,45,477,522,0.08620689655172414,18
